PFR cut
0 0.0013957985179099339 0.002692659133589237 0.0039000715519864233 0.0050275254780518365 0.006084530512003846 0.007091659169127661 0.008324008867062482 0.009501598553371026 0.01063680492989459 0.011742019194234296 0.01282962283453709 0.013912007048437236 0.01500729425552027 0.01626983011722875 0.017568712561948058 0.018918052379525523 0.02032782756745442 0.021969563293720972 
0.0 5000.0 10000.0 15000.0 20000.0 25000.0 
time point_ID electrons_temperature electrons_density ions_0_temperature ions_0_density ions_1_density 
0 2664 2.2141301548366985 1.6866404848642e+19 1.9823148000274244 2.5215172663361e+17 1.6866404848642e+19 
0 2665 2.9085781558311243 1.8542831196967e+19 2.6195618190112917 1.8935139816723e+17 1.8542831196967e+19 
0 2666 3.6681168828111534 2.0115158032949e+19 3.357622757153585 1.4596583834799e+17 2.0115158032949e+19 
0 2667 4.539943212994846 2.1615970471753e+19 4.225287556462124 1.1388311026381002e+17 2.1615970471753e+19 
0 2668 5.449748085877302 2.2902472938873e+19 5.149410776180135 9.1262978008713e+16 2.2902472938873e+19 
0 2669 6.329200500590409 2.3920181988645e+19 6.071939509470597 7.5328128164883e+16 2.3920181988645e+19 
0 2670 7.176804227383515 2.471127642812e+19 6.988017566527654 6.3542544837661e+16 2.471127642812e+19 
0 2671 7.998577644174172 2.5314565401437e+19 7.901331542360731 5.4458824512383e+16 2.5314565401437e+19 
0 2672 8.802841910497284 2.5766079446391e+19 8.82245354988341 4.7196674106623e+16 2.5766079446391e+19 
0 2673 9.623805788273492 2.6108723131963e+19 9.794698245154027 4.1039174719448e+16 2.6108723131963e+19 
0 2674 10.693072628027645 2.6420212196444e+19 11.070869758998205 3.4645389784007e+16 2.6420212196444e+19 
0 2675 12.0608624369321 2.6629770810328e+19 12.659694951573286 2.8612410775848e+16 2.6629770810328e+19 
0 2676 13.465137181130105 2.6630861753345e+19 14.368329310584535 2.3751562444217e+16 2.6630861753345e+19 
0 2677 14.9198329088076 2.6396947494836e+19 16.22192774070449 1.9796097359175e+16 2.6396947494836e+19 
0 2678 16.471053032928488 2.5929094339432e+19 18.292712718584458 1.6496650581441e+16 2.5929094339432e+19 
0 2679 18.70055199263081 2.5069521501626e+19 21.34995716833283 1.3014092688345e+16 2.5069521501626e+19 
0 2680 22.878554334051593 2.3559796148389994e+19 26.450872207419927 9318373873484500.0 2.3559796148389994e+19 
0 2681 28.785768297834863 2.2199385154798e+19 31.735019003800797 7013197489143100.0 2.2199385154798e+19 
0 906 46.832889675929536 2.0722254058757e+19 43.043929151968015 5056893326042601.0 2.0722254058757e+19 
1 2664 2.2578213737619186 1.693665298282e+19 2.018943550952846 2.4157983697769e+17 1.693665298282e+19 
1 2665 2.9632248796523246 1.8633953775723e+19 2.6669427242959736 1.8142084281324e+17 1.8633953775723e+19 
1 2666 3.732185578911575 2.0225922918019e+19 3.4154319857540614 1.3991033380221e+17 2.0225922918019e+19 
