time psi phi j_tor b_field_r b_field_z b_field_tor 
31.8 -6.24637522926 1.02147374012 56524.5216979 -0.0212767368279 0.0063982797913 3.86396553501 
32.2 -5.61609986802 0.99231517008 411301.606121 -0.20857947897 0.0719084127246 3.86926612829 
32.6 -4.91276774139 1.07371979384 503468.339652 -0.10151334872 0.0252988494617 3.86682907637 
32.9 -4.67643545121 0.898570196079 412151.598529 -0.24770239234 0.00570287191845 3.86400164973 
33.3 -4.1762404915 2.09872960916e-17 621216.040523 -0.183849550684 0.0518707701329 3.86424029722 
33.6 -3.79005061798 0.91092869837 629517.657936 -0.163467897275 0.0657010375292 3.86925541799 
34.0 -3.3716408501 -2.8814100778e-17 604692.259177 -0.153067361557 0.0926828999965 3.86646997308 
34.3 -2.90453386501 2.74798456516e-17 574948.04039 -0.138190309125 0.107761769149 3.86252568581 
34.7 -2.48600679871 1.19244332264e-14 442396.488623 -0.146582916926 0.112844105654 3.86350561575 
35.0 -2.04584013996 -4.71309336262e-11 182152.859783 -0.166931485955 0.113323083908 3.86887399881 
35.4 -1.63465658394 -2.63310965287e-10 105678.675573 -0.168506856028 0.108304511352 3.86530885947 
35.8 -1.30792787238 1.17064612268e-11 218641.091781 -0.166684567473 0.114904070723 3.86248129774 
36.1 -1.01901993385 1.06767455954 585303.117346 -0.135249576774 0.118781476438 3.86401142319 
36.5 -0.643369862211 1.05346317281 618519.67977 -0.129655791321 0.116138667977 3.86518508567 
36.8 -0.260131931439 1.06971971756 598639.946775 -0.134150569079 0.119007782746 3.86581715938 
37.2 0.119014318458 1.04335016851 625694.701686 -0.128740825898 0.117828901807 3.8660118119 
37.5 0.502072371285 1.03763687916 630607.620649 -0.127645856047 0.118635106809 3.86489797767 
37.9 0.886821817044 1.03327330084 636182.552055 -0.126041593027 0.118681489095 3.86615354278 
38.2 1.26359911816 1.00984839259 653167.612226 -0.123876845269 0.119058150892 3.86629557074 
38.6 1.64297820929 0.993875747897 667533.347738 -0.120663302099 0.119268577563 3.86532049123 
38.9 2.02348352701 0.99282973765 667794.724336 -0.118679619397 0.120907346796 3.86438352391 
39.3 2.4172637203 0.992086395091 679822.341537 -0.111619198061 0.118717357694 3.86457363215 
39.7 2.82379697567 1.0109843581 705283.983923 -0.0959909628935 0.10992458302 3.8667866716 
40.0 3.19972442181 0.98998869248 711129.89432 -0.0916645150871 0.114536411339 3.86539140329 
40.4 3.56507077465 0.95358548186 723780.706144 -0.0940845272229 0.125542460629 3.86260337252 
40.7 3.98118353364 1.02337902899 571841.262177 -0.100075376708 0.130492280348 3.86406844318 
41.1 4.3856286164 1.12943684141 495140.888391 -0.06767014371 0.0872840575105 3.86545283452 
41.4 4.64178790839 0.950178301824 410041.238893 -0.0503811611896 0.0726562237016 3.86584790848 
41.8 4.90821515407 0.680628672105 339189.331921 -0.0373120904233 0.0721551529417 3.86199611394 
42.1 5.32535652483 0.539183447196 221245.391045 -0.00701959508658 0.0514332232834 3.86383202596 
42.5 5.75616838105 -1e+37 0.0 -0.00244208066491 -0.00989113897103 3.86894035998 
